po_1,po_2,export_country,import_country,prod_cat,mode,ori_port,dest_port,size,carrier,vessel,container_no,etd,eta,atd,ata,date,year,month,day,wday,month_sn,day_sn,request_date,confirm_date,pickup_date,empty_arrival_date,arrival_time,loading_date,gatein_date
4512885332,4512885333,PH,AU,Feminine Care,SEA,MICP,SYDNEY,20',MAERSK,SONGA NUERNBERG,HASU1418347,2018-12-14 00:00:00,2019-01-04 00:00:00,2018-12-14 00:00:00,2019-01-04 00:00:00,2018-12-03 00:00:00,2018,,3,0,201812,2,2018-11-27 00:00:00,2018-11-29 00:00:00,2018-12-03 00:00:00,2018-12-04 00:00:00,1900-01-01 20:52:00,2018-12-05 00:00:00,2018-12-05 00:00:00
4512867575,4512867577,PH,ID,Feminine Care,SEA,MICP,CIKARANG,40',EVERGREEN,EVER BONNY,EGHU1029660,2018-12-22 00:00:00,2019-01-06 00:00:00,2018-12-22 00:00:00,2019-01-04 00:00:00,2018-12-01 00:00:00,2018,5.0,1,5,201812,0,2018-11-21 00:00:00,2018-11-29 00:00:00,2018-12-01 00:00:00,2018-12-03 00:00:00,1900-01-01 04:27:00,2018-12-03 00:00:00,2018-12-03 00:00:00
4512867317,4512865996,PH,ID,Feminine Care,SEA,MICP,CIKARANG,20',EVERGREEN,EVER BONNY,EGHU3604347,2018-12-22 00:00:00,2019-01-06 00:00:00,2018-12-22 00:00:00,2019-01-04 00:00:00,2018-12-01 00:00:00,2018,5.0,1,5,201812,0,2018-11-21 00:00:00,2018-11-29 00:00:00,2018-12-01 00:00:00,2018-12-03 00:00:00,1900-01-01 04:48:00,2018-12-03 00:00:00,2018-12-03 00:00:00
4512884724,4512881164,PH,ID,Feminine Care,SEA,MICP,CIKARANG,20',ONE,CALICANTO BRIDGE,TRHU2167043,2019-01-13 00:00:00,2019-01-27 00:00:00,2019-01-16 00:00:00,2019-01-27 00:00:00,2018-12-20 00:00:00,2018,3.0,20,3,201812,19,2018-11-27 00:00:00,2018-12-20 00:00:00,,2019-01-03 00:00:00,1900-01-01 12:31:00,2019-01-03 00:00:00,2019-01-04 00:00:00
4512906094,4512906109,PH,AU,Fabric Care,SEA,MICP,SYDNEY,20',EVERGREEN,EVER UNITED,EGHU3303045,2018-12-27 00:00:00,2019-01-17 00:00:00,2018-12-29 00:00:00,2019-01-17 00:00:00,2018-12-12 00:00:00,2018,2.0,12,2,201812,11,2018-12-05 00:00:00,2018-12-07 00:00:00,2018-12-12 00:00:00,2018-12-13 00:00:00,1900-01-01 15:13:00,2018-12-14 00:00:00,2018-12-15 00:00:00
4512903356,4512903594,PH,SG,Feminine Care,SEA,MICP,SINGAPORE,20',ONE,CALICANTO BRIDGE,TRHU3783859,2018-12-27 00:00:00,2019-01-04 00:00:00,2018-12-28 00:00:00,2019-01-04 00:00:00,2018-12-18 00:00:00,2018,1.0,18,1,201812,17,2018-12-05 00:00:00,2018-12-07 00:00:00,2018-12-18 00:00:00,2018-12-19 00:00:00,1900-01-01 03:08:00,2018-12-19 00:00:00,2018-12-20 00:00:00
4512907920,4512907738,PH,MY,Feminine Care,SEA,MICP,PORT KLANG,40',ONE,CALICANTO BRIDGE,FCIU7169902,2018-12-28 00:00:00,2019-01-08 00:00:00,2018-12-28 00:00:00,2019-01-08 00:00:00,2018-12-05 00:00:00,2018,2.0,5,2,201812,4,2018-12-05 00:00:00,2018-12-05 00:00:00,,2018-12-19 00:00:00,1900-01-01 20:37:00,2018-12-20 00:00:00,2018-12-21 00:00:00
4512907922,4512907309,PH,MY,Feminine Care,SEA,MICP,PORT KLANG,20',ONE,CALICANTO BRIDGE,TEMU5359241,2018-12-28 00:00:00,2019-01-08 00:00:00,2018-12-28 00:00:00,2019-01-08 00:00:00,2018-12-19 00:00:00,2018,2.0,19,2,201812,18,2018-12-05 00:00:00,2018-12-05 00:00:00,2018-12-19 00:00:00,2018-12-19 00:00:00,1900-01-01 21:47:00,2018-12-20 00:00:00,2018-12-21 00:00:00
4512904485,4512905254,PH,ID,Feminine Care,SEA,MICP,CIKARANG,40',ONE,CALICANTO BRIDGE,DRYU6086386,2019-01-13 00:00:00,2019-01-27 00:00:00,2019-01-16 00:00:00,2019-01-27 00:00:00,2018-12-26 00:00:00,2018,2.0,26,2,201812,25,2018-12-05 00:00:00,2018-12-20 00:00:00,2018-12-26 00:00:00,2018-12-27 00:00:00,1900-01-01 03:35:00,2018-12-27 00:00:00,2018-12-28 00:00:00
4512904487,4512905092,PH,ID,Feminine Care,SEA,MICP,CIKARANG,20',ONE,CALICANTO BRIDGE,NYKU3907376,2019-01-13 00:00:00,2019-01-27 00:00:00,2019-01-16 00:00:00,2019-01-27 00:00:00,2018-12-26 00:00:00,2018,2.0,26,2,201812,25,2018-12-05 00:00:00,2018-12-20 00:00:00,2018-12-26 00:00:00,2018-12-27 00:00:00,1900-01-01 03:40:00,2018-12-27 00:00:00,2018-12-28 00:00:00
